action: u,states: t,states: v,states: x
0.08724892,78.0,0.08074033,19.970821
0.061895132,79.0,0.12436479,20.011192
0.12612236,80.0,0.15531236,20.073374
-0.02819109,81.0,0.21837354,20.15103
-0.019882381,82.0,0.20427799,20.260216
-0.06253284,83.0,0.1943368,20.362354
0.059378266,84.0,0.16307038,20.459522
0.053593755,85.0,0.19275951,20.541058
0.018978834,86.0,0.21955639,20.637438
-0.06805587,87.0,0.22904581,20.747215
-0.14611942,88.0,0.19501787,20.861738
-0.05976391,89.0,0.12195817,20.959248
-0.05267507,90.0,0.09207621,21.020227
-0.06214565,91.0,0.06573868,21.066265
-0.053751945,92.0,0.034665853,21.099134
-0.07008964,93.0,0.00778988,21.116467
-0.08770132,94.0,-0.02725494,21.120361
-0.17868197,95.0,-0.0711056,21.106733
-0.12115991,96.0,-0.16044658,21.07118
-0.10936713,97.0,-0.22102654,20.990957
0.0,98.0,-0.2757101,20.880444
0.0,99.0,-0.2757101,20.742588
-0.9839212,0.0,-0.7612069,174.48117
-0.98425835,1.0,-1.2531675,174.10057
-0.9839134,2.0,-1.7452967,173.47398
-0.98391306,3.0,-2.2372534,172.60133
-0.9838912,4.0,-2.72921,171.48271
-0.9836016,5.0,-3.2211554,170.1181
-0.9828048,6.0,-3.7129562,168.50752
-0.9814589,7.0,-4.2043586,166.65105
-0.98269194,8.0,-4.695088,164.54887
-0.9794554,9.0,-5.186434,162.20132
-0.9836439,10.0,-5.6761613,159.60811
-0.97857636,11.0,-6.167983,156.77003
-0.98175097,12.0,-6.6572714,153.68605
-0.98089194,13.0,-7.1481466,150.35742
-0.9829002,14.0,-7.6385927,146.78336
-0.97979695,15.0,-8.130043,142.96407
-0.97772616,16.0,-8.619942,138.89905
-0.97895455,17.0,-9.108805,134.58908
-0.98114634,18.0,-9.598282,130.03468
-0.97992635,19.0,-10.088855,125.23554
-0.9798382,20.0,-10.578818,120.19112
-0.97930366,21.0,-11.068737,114.90171
-0.97641,22.0,-11.558389,109.36734
-0.80313784,23.0,-12.046594,103.58814
0.6043298,24.0,-12.448163,97.56484
0.8086618,25.0,-12.145998,91.34076
0.9396229,26.0,-11.741667,85.26776
0.94401217,27.0,-11.271855,79.39693
0.95175457,28.0,-10.7998495,73.761
0.9554043,29.0,-10.323973,68.36108
0.95547485,30.0,-9.846271,63.19909
0.95854235,31.0,-9.368533,58.275955
0.9526093,32.0,-8.889262,53.59169
0.960827,33.0,-8.412957,49.14706
0.9606489,34.0,-7.9325438,44.940582
0.9662907,35.0,-7.4522195,40.97431
0.9640038,36.0,-6.9690742,37.248203
0.96556854,37.0,-6.4870725,33.763664
0.9605018,38.0,-6.004288,30.520128
0.9649228,39.0,-5.5240374,27.517984
0.96167946,40.0,-5.041576,24.755966
0.9666283,41.0,-4.560736,22.235178
0.96740484,42.0,-4.077422,19.95481
0.9674556,43.0,-3.5937197,17.916098
0.956377,44.0,-3.109992,16.119238
0.9646443,45.0,-2.6318035,14.564241
0.9610566,46.0,-2.1494813,13.24834
0.9518893,47.0,-1.668953,12.173599
0.9504837,48.0,-1.1930083,11.339123
0.9452821,49.0,-0.71776646,10.742619
0.93156874,50.0,-0.24512541,10.383736
0.8950411,51.0,0.22065896,10.261173
0.8214457,52.0,0.6681795,10.371503
0.7312008,53.0,1.0789024,10.705593
0.67930686,54.0,1.4445028,11.245045
0.55422306,55.0,1.7841563,11.967297
0.33852732,56.0,2.0612679,12.859375
0.24159133,57.0,2.2305315,13.890009
-0.06997818,58.0,2.3513272,15.005275
