states: t,states: v,states: x
98.0,-4.846793,22.494432
99.0,-5.0627985,20.071035
100.0,-4.976424,17.539637
1.0,-1.6957048,49.6655
2.0,-1.4279057,48.81765
3.0,-1.4025437,48.1037
4.0,-1.3742261,47.402428
5.0,-1.2894337,46.715313
6.0,-1.594773,46.070595
7.0,-1.7585139,45.27321
8.0,-1.520993,44.39395
9.0,-1.5360427,43.633453
10.0,-2.052549,42.865433
11.0,-2.1815767,41.839157
12.0,-2.206864,40.748367
13.0,-2.397799,39.644936
14.0,-2.5578544,38.446037
15.0,-2.68092,37.16711
16.0,-2.7183976,35.82665
17.0,-2.6514764,34.46745
18.0,-2.3200104,33.141712
19.0,-2.2597036,31.981707
20.0,-2.4352598,30.851854
21.0,-2.5496364,29.634224
22.0,-2.3906293,28.359406
23.0,-2.080665,27.164091
24.0,-1.8541248,26.123758
25.0,-1.8560679,25.196695
26.0,-1.8952501,24.268661
27.0,-2.2562108,23.321037
28.0,-2.1127863,22.192932
29.0,-2.279116,21.13654
30.0,-2.2040591,19.99698
31.0,-2.3918521,18.89495
32.0,-2.2637193,17.699024
33.0,-2.4819992,16.567165
34.0,-2.522758,15.326166
35.0,-2.3547094,14.064787
36.0,-2.449069,12.887432
37.0,-2.4043841,11.662897
38.0,-2.5486648,10.460705
39.0,-2.338898,9.186373
40.0,-2.8218627,8.016924
41.0,-2.3878367,6.6059923
42.0,-1.7586755,5.412074
43.0,-1.5454078,4.5327363
44.0,-1.5860053,3.7600324
45.0,-1.3033259,2.9670298
46.0,-1.3066099,2.3153667
47.0,-1.5781671,1.6620618
48.0,-1.6942326,0.87297827
49.0,-1.8385911,0.025861979
50.0,-2.2451108,-0.8934336
51.0,-2.6052208,-2.0159888
52.0,-2.438471,-3.3185992
53.0,-2.1592822,-4.5378346
54.0,-2.2227597,-5.6174755
55.0,-2.2256455,-6.728855
56.0,-2.0696275,-7.8416777
57.0,-1.9145653,-8.876492
58.0,-1.7033108,-9.833775
59.0,-1.6084902,-10.68543
60.0,-1.5496546,-11.489675
61.0,-1.2650554,-12.264502
62.0,-0.99816453,-12.897029
63.0,-1.030791,-13.3961115
64.0,-1.0539639,-13.911507
65.0,-0.76772213,-14.438489
66.0,-0.8453295,-14.82235
67.0,-0.9299777,-15.245014
68.0,-0.9793543,-15.710003
69.0,-0.8704836,-16.19968
70.0,-0.96759,-16.634922
71.0,-1.0752717,-17.118717
72.0,-1.0847061,-17.656353
73.0,-1.0980685,-18.198706
74.0,-1.0178106,-18.74774
75.0,-0.7916331,-19.256645
76.0,-0.49667814,-19.652462
77.0,-0.34889477,-19.9008
78.0,-0.2738188,-20.075249
79.0,-0.06682426,-20.212158
80.0,-0.19740483,-20.245571
81.0,-0.44155285,-20.344273
82.0,-0.35910064,-20.565048
83.0,-0.20478958,-20.744598
84.0,-0.2574447,-20.846992
85.0,-0.2854916,-20.975716
86.0,-0.58080673,-21.118462
87.0,-0.27364677,-21.408865
88.0,0.23041701,-21.545689
89.0,0.6593032,-21.430481
90.0,0.77006584,-21.10083
91.0,0.35063016,-20.715797
92.0,0.76664793,-20.540482
93.0,0.7636497,-20.157158
94.0,1.0233343,-19.775333
95.0,0.72924966,-19.263666
96.0,1.0307529,-18.899042
97.0,0.80616856,-18.383665
98.0,0.6559281,-17.980581
99.0,0.9076365,-17.652617
100.0,0.82619536,-17.1988
1.0,-0.46744806,-106.249725
2.0,-0.09778708,-106.48345
3.0,0.34633347,-106.53235
4.0,0.7965829,-106.359184
5.0,0.5593928,-105.96089
6.0,0.99481034,-105.6812
7.0,1.496219,-105.18379
