action: u,states: t,states: v,states: x
-0.159697,76.0,1.44449,15.8575
-0.128369,77.0,1.61165,16.5797
-0.331635,78.0,1.68267,17.3855
-0.0720825,79.0,1.55435,18.2269
-0.211205,80.0,1.28801,19.0041
-0.275461,81.0,1.34762,19.6481
-0.309136,82.0,1.31174,20.3219
-0.148032,83.0,1.13421,20.9777
-0.41471,84.0,1.36837,21.5448
-0.347467,85.0,1.31198,22.229
-0.404483,86.0,0.970546,22.885
-0.302609,87.0,0.551168,23.3703
-0.335953,88.0,0.615915,23.6459
-0.468168,89.0,0.731031,23.9538
-0.535086,90.0,0.433134,24.3194
-0.47161,91.0,0.0517977,24.5359
-0.368875,92.0,-0.604915,24.5618
-0.308944,93.0,-1.00853,24.2594
-0.526249,94.0,-1.4589,23.7551
-0.466777,95.0,-2.11189,23.0256
0.157142,96.0,-2.466,21.9697
0.39995,97.0,-2.30468,20.7367
0.00121975,98.0,-1.65081,19.5844
-0.0384065,99.0,-1.68168,18.759
0.0416094,0.0,1.64027,-93.6196
0.206265,1.0,1.76196,-92.7995
0.115567,2.0,1.59359,-91.9185
0.214445,3.0,2.07741,-91.1217
0.214128,4.0,2.60933,-90.083
-0.00777739,5.0,2.61378,-88.7783
0.120554,6.0,2.35862,-87.4714
0.0820529,7.0,2.52913,-86.2921
0.150625,8.0,2.52101,-85.0276
0.11475,9.0,2.39956,-83.7671
0.103545,10.0,2.46268,-82.5673
0.194164,11.0,2.2193,-81.3359
0.198667,12.0,2.22215,-80.2263
0.161741,13.0,2.25132,-79.1152
0.146288,14.0,2.6382,-77.9895
0.0174612,15.0,2.88226,-76.6704
-0.0577425,16.0,3.26504,-75.2293
0.0948529,17.0,3.65366,-73.5968
-0.106049,18.0,3.66064,-71.77
-0.00335681,19.0,3.46315,-69.9396
-0.0153665,20.0,3.39016,-68.2081
-0.118359,21.0,3.90449,-66.513
-0.107371,22.0,3.75898,-64.5607
-0.0183578,23.0,3.71865,-62.6813
-0.0955484,24.0,3.78464,-60.8219
-0.100828,25.0,3.9589,-58.9296
-0.116861,26.0,4.19624,-56.9502
-0.069295,27.0,4.28471,-54.852
-0.254014,28.0,4.46827,-52.7097
-0.158572,29.0,4.6296,-50.4755
-0.260429,30.0,4.74226,-48.1608
-0.283645,31.0,4.97316,-45.7896
-0.139517,32.0,5.07252,-43.303
-0.231232,33.0,4.98965,-40.7668
-0.282241,34.0,4.68404,-38.272
-0.140078,35.0,4.51436,-35.9299
-0.180942,36.0,4.5474,-33.6728
-0.146996,37.0,4.65196,-31.3991
-0.260472,38.0,4.51602,-29.0731
-0.252417,39.0,4.54603,-26.8151
-0.279942,40.0,4.3114,-24.542
-0.344293,41.0,4.09106,-22.3863
-0.249992,42.0,4.02373,-20.3408
-0.176084,43.0,3.78199,-18.329
-0.150634,44.0,3.898,-16.438
-0.133285,45.0,3.96853,-14.489
-0.345421,46.0,3.64607,-12.5047
-0.19533,47.0,3.5793,-10.6817
-0.187556,48.0,3.37058,-8.89201
-0.124344,49.0,3.40529,-7.20672
-0.290457,50.0,3.35678,-5.50408
-0.289214,51.0,3.35654,-3.82569
-0.234379,52.0,3.68608,-2.14742
-0.289454,53.0,3.25693,-0.304378
-0.187825,54.0,2.81164,1.32409
-0.16304,55.0,2.5398,2.72991
-0.322869,56.0,2.45064,3.99981
-0.267677,57.0,2.194,5.22513
-0.191024,58.0,1.96688,6.32213
-0.175589,59.0,1.99561,7.30556
-0.201985,60.0,1.73248,8.30337
-0.241339,61.0,1.49811,9.16961
-0.144174,62.0,1.33215,9.91866
-0.113517,63.0,1.19998,10.5847
-0.1146,64.0,0.836395,11.1847
-0.228356,65.0,0.576099,11.6029
-0.05944,66.0,0.492577,11.891
-0.23279,67.0,0.415663,12.1373
-0.116173,68.0,0.031817,12.3451
-0.189041,69.0,-0.0514067,12.361
0.0239408,70.0,0.109141,12.3353
-0.0336229,71.0,-0.0531714,12.3899
-0.233544,72.0,0.0448496,12.3633
-0.267583,73.0,0.178599,12.3857
-0.347484,74.0,0.312862,12.475
-0.0651697,75.0,0.196535,12.6314
0.00614047,76.0,-0.00722387,12.7297
-0.340094,77.0,0.154637,12.7261
-0.184931,78.0,-0.18138,12.8034
-0.171446,79.0,0.00365219,12.7127
-0.254143,80.0,-0.000862472,12.7146
-0.173242,81.0,-0.0287794,12.7141
-0.212047,82.0,0.154588,12.6997
-0.391357,83.0,0.636165,12.777
-0.209652,84.0,0.484108,13.0951
-0.31564,85.0,0.179141,13.3372
-0.554764,86.0,0.256677,13.4267
-0.4918,87.0,0.288956,13.5551
-0.527246,88.0,0.102332,13.6995
-0.370008,89.0,-0.250865,13.7507
-0.455388,90.0,-0.612721,13.6253
-0.454362,91.0,-0.965459,13.3189
-0.39921,92.0,-1.02461,12.8362
-0.285362,93.0,-1.38518,12.3239
-0.45821,94.0,-1.26795,11.6313
-0.425767,95.0,-1.63353,10.9973
-0.482361,96.0,-1.96714,10.1806
-0.485222,97.0,-2.27336,9.19699
-0.0104653,98.0,-2.07112,8.0603
0.00444889,99.0,-2.38214,7.02475
0.0533679,0.0,-1.11793,4.15394
-0.023088,1.0,-1.39812,3.59498
0.247351,2.0,-1.97763,2.89592
0.303439,3.0,-1.73547,1.9071
0.31384,4.0,-1.33445,1.03937
0.267224,5.0,-1.39915,0.372143
0.115771,6.0,-1.04915,-0.327432
0.199966,7.0,-0.97774,-0.852006
0.256121,8.0,-1.48718,-1.34088
0.0449479,9.0,-1.2836,-2.08446
0.257948,10.0,-1.64681,-2.72626
0.159983,11.0,-1.76847,-3.54967
0.218874,12.0,-1.55514,-4.4339
0.386217,13.0,-1.47779,-5.21147
0.351746,14.0,-1.1835,-5.95037
0.183603,15.0,-1.21034,-6.54212
0.131115,16.0,-1.16325,-7.14729
0.273448,17.0,-0.750959,-7.72891
0.261109,18.0,-1.01996,-8.10439
0.209897,19.0,-1.09136,-8.61438
0.310584,20.0,-0.844131,-9.16006
0.290854,21.0,-0.587529,-9.58212
0.244482,22.0,-0.345477,-9.87589
0.190336,23.0,-0.357483,-10.0486
0.0778065,24.0,-0.212474,-10.2274
0.361361,25.0,-0.369088,-10.3336
0.233894,26.0,-0.377004,-10.5182
0.309475,27.0,-0.101708,-10.7067
0.334796,28.0,0.289491,-10.7575
0.237703,29.0,0.268506,-10.6128
0.163126,30.0,0.352558,-10.4785
0.349236,31.0,0.663815,-10.3022
0.114271,32.0,0.75788,-9.97032
0.289428,33.0,0.687402,-9.59138
0.183252,34.0,1.27348,-9.24768
0.19671,35.0,1.56056,-8.61094
0.172404,36.0,1.48645,-7.83066
0.103487,37.0,1.86895,-7.08743
0.0127007,38.0,2.1718,-6.15296
0.0337868,39.0,2.09065,-5.06706
0.309348,40.0,1.9258,-4.02173
0.2701,41.0,1.79998,-3.05883
0.258413,42.0,1.57034,-2.15884
0.237756,43.0,1.69629,-1.37367
0.291141,44.0,1.82643,-0.525528
0.0987356,45.0,2.25479,0.387686
0.111217,46.0,1.89079,1.51508
0.119653,47.0,1.95996,2.46048
