states: t,states: v,states: x
7.0,1.22955,61.2577
8.0,0.94528,61.8725
9.0,0.529217,62.3451
10.0,0.517236,62.6097
11.0,0.226577,62.8684
12.0,0.118015,62.9816
13.0,-0.00972417,63.0407
14.0,-0.269129,63.0358
15.0,-0.521608,62.9012
16.0,-0.464352,62.6404
17.0,-0.643435,62.4082
18.0,-0.650404,62.0865
19.0,-0.667419,61.7613
20.0,-0.493532,61.4276
21.0,-0.851608,61.1809
22.0,-0.795065,60.755
23.0,-0.779875,60.3575
24.0,-1.10031,59.9676
25.0,-1.49764,59.4174
26.0,-1.63169,58.6686
27.0,-1.72431,57.8528
28.0,-1.71454,56.9906
29.0,-1.6712,56.1333
30.0,-1.72489,55.2977
31.0,-1.61414,54.4353
32.0,-1.6713,53.6282
33.0,-2.18526,52.7926
34.0,-2.1075,51.6999
35.0,-1.9758,50.6462
36.0,-1.69724,49.6583
37.0,-1.87495,48.8097
38.0,-1.99853,47.8722
39.0,-2.18738,46.8729
40.0,-2.24802,45.7792
41.0,-2.25556,44.6552
42.0,-2.28875,43.5275
43.0,-2.23193,42.3831
44.0,-2.31712,41.2671
45.0,-2.46716,40.1086
46.0,-2.83551,38.875
47.0,-2.78341,37.4572
48.0,-2.66673,36.0655
49.0,-2.86776,34.7322
50.0,-3.14503,33.2983
51.0,-2.38303,31.7258
52.0,-2.50484,30.5342
53.0,-2.44832,29.2818
54.0,-2.57904,28.0577
55.0,-2.41872,26.7681
56.0,-2.59199,25.5588
57.0,-3.06014,24.2628
58.0,-3.11796,22.7327
59.0,-2.76655,21.1737
60.0,-2.64346,19.7905
61.0,-2.64852,18.4687
62.0,-2.271,17.1445
63.0,-2.04448,16.009
64.0,-2.28643,14.9867
65.0,-2.50028,13.8435
66.0,-2.52181,12.5934
67.0,-2.56312,11.3325
68.0,-2.45943,10.0509
69.0,-2.67306,8.8212
70.0,-2.21423,7.48467
71.0,-2.14559,6.37756
72.0,-1.8339,5.30476
73.0,-1.77749,4.38781
74.0,-1.6213,3.49907
75.0,-1.55122,2.68842
76.0,-1.2879,1.91281
77.0,-1.32302,1.26886
78.0,-1.52251,0.607348
79.0,-1.46285,-0.153907
80.0,-1.24965,-0.885334
81.0,-1.19192,-1.51016
82.0,-1.40248,-2.10612
83.0,-1.48385,-2.80736
84.0,-1.95749,-3.54929
85.0,-1.89356,-4.52803
86.0,-2.08274,-5.47481
87.0,-2.15859,-6.51618
88.0,-2.40735,-7.59548
89.0,-2.11462,-8.79915
90.0,-2.08505,-9.85646
91.0,-1.68269,-10.899
92.0,-1.62223,-11.7403
93.0,-1.05321,-12.5514
94.0,-0.717791,-13.078
95.0,-0.374688,-13.4369
96.0,-0.182474,-13.6243
97.0,0.0727383,-13.7155
98.0,-0.0137489,-13.6791
99.0,-0.0567775,-13.686
100.0,0.441566,-13.7144
1.0,0.0484462,-41.7039
2.0,0.261795,-41.6797
3.0,0.798257,-41.5488
4.0,0.639348,-41.1497
5.0,0.732437,-40.83
6.0,0.697638,-40.4638
7.0,0.617832,-40.115
8.0,0.431081,-39.806
9.0,0.436401,-39.5905
10.0,0.439607,-39.3723
11.0,0.911329,-39.1525
12.0,1.36216,-38.6968
13.0,1.70163,-38.0157
14.0,1.8012,-37.1649
15.0,1.65424,-36.2643
16.0,2.25591,-35.4372
17.0,2.17528,-34.3093
18.0,2.23493,-33.2216
19.0,2.7078,-32.1041
20.0,2.51993,-30.7502
21.0,2.37637,-29.4903
22.0,1.92711,-28.3021
23.0,1.64351,-27.3385
24.0,1.71805,-26.5168
25.0,1.20902,-25.6578
26.0,1.23513,-25.0533
27.0,1.08745,-24.4357
28.0,0.970902,-23.892
29.0,1.15472,-23.4065
30.0,1.62778,-22.8292
31.0,1.96153,-22.0153
32.0,1.81368,-21.0345
33.0,1.7515,-20.1277
34.0,2.04052,-19.2519
35.0,2.06983,-18.2317
36.0,2.00188,-17.1967
37.0,2.53289,-16.1958
38.0,2.42721,-14.9294
39.0,2.37165,-13.7157
40.0,2.16522,-12.5299
41.0,2.6273,-11.4473
42.0,2.31224,-10.1337
43.0,2.3544,-8.97755
44.0,1.7761,-7.80035
45.0,1.41665,-6.9123
46.0,1.71999,-6.20397
47.0,1.92183,-5.34398
48.0,2.14746,-4.38306
49.0,2.12981,-3.30934
50.0,2.38529,-2.24443
51.0,2.69959,-1.05178
52.0,2.63484,0.298011
53.0,2.68055,1.61543
54.0,2.26813,2.9557
55.0,1.5907,4.08977
56.0,1.78644,4.88512
57.0,1.88766,5.77834
58.0,1.97142,6.72217
59.0,2.32262,7.70788
60.0,2.52052,8.86919
61.0,2.69167,10.1294
62.0,2.31294,11.4753
63.0,2.37948,12.6318
64.0,2.05094,13.8215
65.0,2.02698,14.847
66.0,2.17528,15.8605
67.0,2.02856,16.9481
68.0,2.25681,17.9624
69.0,1.7683,19.0908
70.0,1.6769,19.9749
71.0,1.62155,20.8134
72.0,1.4534,21.6241
73.0,1.38348,22.3509
74.0,1.17115,23.0426
75.0,1.729,23.6282
76.0,1.51518,24.4927
77.0,1.42586,25.2503
78.0,1.49142,25.9632
79.0,1.42843,26.7089
80.0,0.969413,27.4231
81.0,0.821716,27.9078
82.0,1.04777,28.3187
83.0,0.768773,28.8426
84.0,0.696718,29.2269
85.0,0.861355,29.5753
86.0,1.06556,30.006
87.0,0.192382,30.5388
88.0,0.20032,30.635
89.0,0.382019,30.7351
90.0,0.462517,30.9261
91.0,0.490845,31.1574
92.0,0.310837,31.4028
93.0,0.106849,31.5582
94.0,0.00982796,31.6116
95.0,-0.179254,31.6166
96.0,-0.582553,31.5269
97.0,-0.729246,31.2357
98.0,-0.401663,30.871
99.0,-0.37762,30.6702
100.0,-0.348512,30.4814
1.0,-1.24257,-64.3593
2.0,-1.30597,-64.9806
3.0,-0.925856,-65.6336
4.0,-0.563,-66.0965
5.0,-0.790856,-66.378
6.0,-0.897449,-66.7734
7.0,-0.703244,-67.2222
8.0,-0.883032,-67.5738
9.0,-0.710533,-68.0153
10.0,-0.354934,-68.3706
11.0,-0.251113,-68.548
12.0,-0.1863,-68.6736
13.0,0.117738,-68.7667
14.0,0.434658,-68.7079
15.0,0.384937,-68.4905
16.0,0.375081,-68.2981
17.0,0.555234,-68.1105
18.0,0.619514,-67.8329
19.0,0.819688,-67.5232
20.0,0.808081,-67.1133
21.0,0.864452,-66.7093
22.0,1.0721,-66.277
23.0,1.09638,-65.741
24.0,1.14488,-65.1928
25.0,1.53896,-64.6204
26.0,1.96677,-63.8509
27.0,2.07692,-62.8675
28.0,1.8594,-61.829
29.0,1.89777,-60.8993
30.0,1.93744,-59.9505
31.0,1.89341,-58.9817
32.0,2.28074,-58.035
33.0,2.44274,-56.8947
34.0,2.38681,-55.6733
35.0,2.67404,-54.4799
36.0,2.66489,-53.1429
37.0,2.80228,-51.8104
38.0,3.14436,-50.4093
39.0,3.13987,-48.8371
40.0,3.3468,-47.2672
41.0,3.0327,-45.5938
42.0,2.78685,-44.0774
43.0,2.37425,-42.684
44.0,2.13251,-41.4969
45.0,2.10247,-40.4306
46.0,2.01171,-39.3794
47.0,2.32779,-38.3735
48.0,2.29401,-37.2096
49.0,3.03341,-36.0626
50.0,2.5952,-34.5459
51.0,2.59827,-33.2483
52.0,2.45328,-31.9492
53.0,2.5624,-30.7225
54.0,2.25191,-29.4413
55.0,2.15549,-28.3154
56.0,2.10097,-27.2376
57.0,1.81487,-26.1871
58.0,1.89654,-25.2797
59.0,2.11729,-24.3314
60.0,2.33264,-23.2728
61.0,2.57071,-22.1065
62.0,2.31109,-20.8211
63.0,2.52842,-19.6656
64.0,2.68786,-18.4014
65.0,2.76655,-17.0574
66.0,2.7773,-15.6742
67.0,2.83486,-14.2855
68.0,2.51246,-12.8681
69.0,2.39104,-11.6119
70.0,2.19524,-10.4163
71.0,2.26539,-9.31872
72.0,2.15352,-8.18602
73.0,2.37332,-7.10926
74.0,2.2491,-5.9226
75.0,2.06347,-4.79805
76.0,2.01085,-3.76631
77.0,1.95067,-2.76089
78.0,1.91225,-1.78555
79.0,1.96728,-0.829429
80.0,1.7339,0.154209
81.0,1.9716,1.02116
82.0,1.94472,2.00696
83.0,2.71995,2.97932
84.0,2.26916,4.3393
85.0,2.19355,5.47388
86.0,1.97863,6.57065
87.0,1.8558,7.55997
88.0,1.99335,8.48787
89.0,1.70999,9.48455
90.0,1.73054,10.3395
91.0,1.2097,11.2048
92.0,1.15813,11.8097
93.0,0.668406,12.3887
94.0,0.250995,12.7229
95.0,-0.220532,12.8484
96.0,0.0377393,12.7382
97.0,-0.231096,12.757
98.0,-0.314541,12.6415
99.0,-0.340526,12.4842
100.0,-0.306964,12.314
1.0,1.82473,-25.79
2.0,1.85864,-24.8777
3.0,2.01671,-23.9483
4.0,1.9095,-22.94
5.0,1.87631,-21.9852
6.0,1.98277,-21.0471
7.0,2.34352,-20.0557
8.0,2.02032,-18.8839
9.0,2.25787,-17.8738
10.0,2.20599,-16.7448
11.0,1.64218,-15.6418
12.0,1.94442,-14.8207
13.0,1.53546,-13.8485
14.0,1.7594,-13.0808
15.0,1.77007,-12.2011
16.0,1.97171,-11.3161
17.0,2.20226,-10.3302
18.0,2.20063,-9.22908
19.0,1.83185,-8.12877
20.0,1.45066,-7.21284
21.0,1.29241,-6.48751
22.0,1.10095,-5.84131
23.0,1.10723,-5.29084
24.0,1.22417,-4.73722
25.0,1.10517,-4.12514
26.0,1.03153,-3.57255
27.0,0.526936,-3.05679
28.0,1.17752,-2.79332
29.0,1.32284,-2.20456
30.0,1.41818,-1.54314
31.0,1.49696,-0.834056
32.0,1.31309,-0.0855777
33.0,0.837341,0.570967
34.0,0.995207,0.989637
35.0,0.831646,1.48724
36.0,0.741413,1.90306
37.0,0.594868,2.27377
38.0,0.577207,2.5712
39.0,0.638187,2.85981
40.0,0.710707,3.1789
41.0,0.320699,3.53425
42.0,0.330698,3.6946
43.0,0.434279,3.85995
44.0,0.269816,4.07709
45.0,-0.139001,4.212
46.0,-0.456005,4.1425
47.0,-0.331092,3.9145
48.0,0.0266216,3.74895
49.0,-0.132328,3.76226
50.0,-0.408493,3.6961
51.0,-0.483081,3.49185
52.0,-0.294208,3.25031
53.0,-0.177082,3.10321
54.0,-0.105138,3.01467
55.0,0.00763264,2.9621
56.0,0.0150107,2.96591
57.0,0.411097,2.97342
58.0,0.596065,3.17897
59.0,0.316792,3.477
60.0,0.674144,3.6354
61.0,0.694631,3.97247
62.0,0.611863,4.31978
63.0,0.710051,4.62571
64.0,0.474884,4.98074
65.0,0.505698,5.21818
66.0,0.380197,5.47103
67.0,0.524224,5.66113
68.0,0.723415,5.92324
69.0,0.643309,6.28495
70.0,0.638396,6.6066
71.0,0.648678,6.9258
72.0,0.686953,7.25014
73.0,0.553592,7.59362
74.0,0.414213,7.87041
75.0,0.972427,8.07752
76.0,1.14825,8.56373
77.0,1.02689,9.13786
78.0,1.34053,9.65131
79.0,1.76738,10.3216
80.0,2.42305,11.2053
81.0,1.93619,12.4168
82.0,1.83688,13.3849
83.0,1.7908,14.3033
84.0,1.85202,15.1987
85.0,1.87847,16.1247
86.0,1.62878,17.064
87.0,1.04671,17.8784
88.0,0.838309,18.4017
89.0,0.665614,18.8209
90.0,0.205059,19.1537
91.0,0.497636,19.2562
92.0,0.333777,19.505
93.0,0.487644,19.6719
94.0,0.305645,19.9157
95.0,0.418505,20.0686
96.0,0.414166,20.2778
97.0,0.684737,20.4849
98.0,0.461641,20.8273
99.0,0.390831,21.0581
100.0,0.774197,21.2535
1.0,-0.183335,-74.7826
2.0,-0.169042,-74.8743
3.0,0.0369369,-74.9588
4.0,0.407717,-74.9403
5.0,0.864305,-74.7364
6.0,1.1354,-74.3043
7.0,1.27842,-73.7366
8.0,1.59551,-73.0974
9.0,1.72903,-72.2996
10.0,1.93958,-71.4351
11.0,2.05412,-70.4653
12.0,2.1509,-69.4382
13.0,2.1797,-68.3628
14.0,2.10467,-67.2729
15.0,1.65829,-66.2206
16.0,1.77068,-65.3915
17.0,1.80969,-64.5061
18.0,2.10755,-63.6013
19.0,2.06487,-62.5475
20.0,2.14926,-61.5151
21.0,2.31592,-60.4404
22.0,2.36434,-59.2825
23.0,1.89113,-58.1003
24.0,2.03307,-57.1548
25.0,2.04,-56.1382
26.0,2.10355,-55.1182
27.0,2.34252,-54.0664
28.0,2.41992,-52.8952
29.0,2.67583,-51.6852
30.0,2.40834,-50.3473
31.0,2.57812,-49.1431
32.0,2.71121,-47.8541
33.0,2.35271,-46.4985
34.0,2.2091,-45.3221
35.0,2.50909,-44.2176
36.0,2.77888,-42.963
37.0,3.34868,-41.5736
38.0,3.12894,-39.8992
39.0,3.55743,-38.3348
40.0,3.58077,-36.5561
41.0,3.62707,-34.7657
42.0,3.89707,-32.9521
43.0,4.06995,-31.0036
44.0,4.18511,-28.9686
45.0,4.39423,-26.8761
46.0,4.62486,-24.679
47.0,4.62394,-22.3665
48.0,4.58484,-20.0546
49.0,4.95002,-17.7621
