action: u,states: t,states: v,states: x
-0.57141733,77.0,-1.8331695,61.216213
-0.54518133,78.0,-2.140597,60.29963
-0.47604162,79.0,-2.3318756,59.229332
-0.46790057,80.0,-2.5104568,58.063393
-0.47001237,81.0,-2.8758984,56.808163
-0.4816783,82.0,-2.9994855,55.370213
-0.41974652,83.0,-3.4826796,53.87047
-0.43996155,84.0,-3.6933098,52.129128
-0.37243253,85.0,-3.8582675,50.28247
-0.33543336,86.0,-3.9900203,48.353336
-0.4307394,87.0,-4.0200825,46.358326
-0.27557808,88.0,-3.707003,44.348286
-0.31840122,89.0,-4.236391,42.494785
-0.27927792,90.0,-4.448313,40.37659
-0.32384938,91.0,-4.384045,38.152435
-0.278857,92.0,-4.3692217,35.96041
-0.19481438,93.0,-4.5592856,33.7758
-0.12904394,94.0,-4.4779286,31.496157
-0.1396842,95.0,-4.3711057,29.257193
-0.1646871,96.0,-4.3684397,27.07164
-0.066379726,97.0,-4.785978,24.88742
0.0,98.0,-4.846793,22.494432
0.0,99.0,-5.0627985,20.071035
-0.3204438,0.0,-1.2452881,50.288143
-0.3019914,1.0,-1.6957048,49.6655
-0.21107203,2.0,-1.4279057,48.81765
-0.28159106,3.0,-1.4025437,48.1037
-0.26379645,4.0,-1.3742261,47.402428
-0.26024687,5.0,-1.2894337,46.715313
-0.18598884,6.0,-1.594773,46.070595
-0.16286021,7.0,-1.7585139,45.27321
-0.13749182,8.0,-1.520993,44.39395
-0.20358503,9.0,-1.5360427,43.633453
-0.16615099,10.0,-2.052549,42.865433
-0.106444895,11.0,-2.1815767,41.839157
-0.09330982,12.0,-2.206864,40.748367
-0.08290863,13.0,-2.397799,39.644936
-0.03779137,14.0,-2.5578544,38.446037
-0.09005642,15.0,-2.68092,37.16711
-0.09758872,16.0,-2.7183976,35.82665
-0.057572424,17.0,-2.6514764,34.46745
-0.054230988,18.0,-2.3200104,33.141712
-0.065227866,19.0,-2.2597036,31.981707
0.0042983294,20.0,-2.4352598,30.851854
-0.08428007,21.0,-2.5496364,29.634224
-0.010886431,22.0,-2.3906293,28.359406
0.038193822,23.0,-2.080665,27.164091
-0.0037417412,24.0,-1.8541248,26.123758
0.06408608,25.0,-1.8560679,25.196695
-0.04433453,26.0,-1.8952501,24.268661
0.0458591,27.0,-2.2562108,23.321037
0.0794723,28.0,-2.1127863,22.192932
0.0060265064,29.0,-2.279116,21.13654
0.1225791,30.0,-2.2040591,19.99698
0.09968686,31.0,-2.3918521,18.89495
0.051232934,32.0,-2.2637193,17.699024
0.03947258,33.0,-2.4819992,16.567165
0.052963138,34.0,-2.522758,15.326166
0.12437022,35.0,-2.3547094,14.064787
0.063922286,36.0,-2.449069,12.887432
0.14417732,37.0,-2.4043841,11.662897
0.17076433,38.0,-2.5486648,10.460705
0.09465778,39.0,-2.338898,9.186373
0.034917235,40.0,-2.8218627,8.016924
0.12521839,41.0,-2.3878367,6.6059923
0.17220688,42.0,-1.7586755,5.412074
0.11776936,43.0,-1.5454078,4.5327363
0.17586601,44.0,-1.5860053,3.7600324
0.17416692,45.0,-1.3033259,2.9670298
0.18049288,46.0,-1.3066099,2.3153667
0.14038026,47.0,-1.5781671,1.6620618
0.08815861,48.0,-1.6942326,0.87297827
0.101109505,49.0,-1.8385911,0.025861979
0.15193582,50.0,-2.2451108,-0.8934336
0.16390085,51.0,-2.6052208,-2.0159888
0.2283318,52.0,-2.438471,-3.3185992
0.10704458,53.0,-2.1592822,-4.5378346
0.120904565,54.0,-2.2227597,-5.6174755
0.18466628,55.0,-2.2256455,-6.728855
0.15795624,56.0,-2.0696275,-7.8416777
0.22143877,57.0,-1.9145653,-8.876492
0.18489718,58.0,-1.7033108,-9.833775
0.11315429,59.0,-1.6084902,-10.68543
0.19576871,60.0,-1.5496546,-11.489675
0.2053597,61.0,-1.2650554,-12.264502
0.19681466,62.0,-0.99816453,-12.897029
0.120348096,63.0,-1.030791,-13.3961115
0.111322045,64.0,-1.0539639,-13.911507
0.17203212,65.0,-0.76772213,-14.438489
0.21889067,66.0,-0.8453295,-14.82235
0.120346785,67.0,-0.9299777,-15.245014
0.21855676,68.0,-0.9793543,-15.710003
0.10308206,69.0,-0.8704836,-16.19968
0.23454475,70.0,-0.96759,-16.634922
0.13137043,71.0,-1.0752717,-17.118717
0.2416488,72.0,-1.0847061,-17.656353
0.14270282,73.0,-1.0980685,-18.198706
0.19162643,74.0,-1.0178106,-18.74774
0.214787,75.0,-0.7916331,-19.256645
0.18488061,76.0,-0.49667814,-19.652462
0.23437834,77.0,-0.34889477,-19.9008
0.14560163,78.0,-0.2738188,-20.075249
0.14609706,79.0,-0.06682426,-20.212158
0.089876056,80.0,-0.19740483,-20.245571
0.11487687,81.0,-0.44155285,-20.344273
0.12301171,82.0,-0.35910064,-20.565048
0.21385908,83.0,-0.20478958,-20.744598
0.182742,84.0,-0.2574447,-20.846992
0.07546508,85.0,-0.2854916,-20.975716
0.1739353,86.0,-0.58080673,-21.118462
0.15106618,87.0,-0.27364677,-21.408865
0.16223872,88.0,0.23041701,-21.545689
0.07244468,89.0,0.6593032,-21.430481
0.078317165,90.0,0.77006584,-21.10083
0.16741753,91.0,0.35063016,-20.715797
0.18612778,92.0,0.76664793,-20.540482
0.17502105,93.0,0.7636497,-20.157158
0.12493312,94.0,1.0233343,-19.775333
0.17436087,95.0,0.72924966,-19.263666
0.07337129,96.0,1.0307529,-18.899042
0.1229521,97.0,0.80616856,-18.383665
0.0,98.0,0.6559281,-17.980581
0.0,99.0,0.9076365,-17.652617
0.8731165,0.0,-0.9090076,-105.79522
0.8693391,1.0,-0.46744806,-106.249725
0.8295778,2.0,-0.09778708,-106.48345
0.8281231,3.0,0.34633347,-106.53235
0.82684994,4.0,0.7965829,-106.359184
0.8146993,5.0,0.5593928,-105.96089
0.79926944,6.0,0.99481034,-105.6812
0.78223085,7.0,1.496219,-105.18379
0.7363347,8.0,1.9576272,-104.435684
0.6819669,9.0,2.2849367,-103.45687
0.7214862,10.0,2.6124232,-102.3144
0.6703539,11.0,2.8240602,-101.00819
0.6252209,12.0,3.0107656,-99.59615
0.64082336,13.0,3.440365,-98.09077
0.60789955,14.0,3.6866052,-96.37058
0.53537667,15.0,3.901594,-94.52728
0.50700676,16.0,4.495691,-92.576485
0.43528676,17.0,4.6539664,-90.328636
0.3783598,18.0,4.9831605,-88.001656
0.43262982,19.0,5.2641816,-85.51008
0.30238903,20.0,5.4540367,-82.87799
0.2659421,21.0,5.300984,-80.15097
0.30619836,22.0,5.65704,-77.50048
0.18524253,23.0,5.51235,-74.67196
0.12984562,24.0,5.6157656,-71.91579
0.12662494,25.0,5.4984,-69.1079
0.09635472,26.0,6.2153935,-66.3587
0.10188103,27.0,6.4341865,-63.251007
0.0903604,28.0,6.387681,-60.033913
-0.05614525,29.0,6.290164,-56.840073
-0.020098448,30.0,6.212016,-53.694992
-0.104510605,31.0,6.543798,-50.588985
-0.07755965,32.0,6.5313835,-47.317085
-0.11940497,33.0,6.324732,-44.05139
-0.08963096,34.0,6.3472433,-40.889027
-0.14935297,35.0,6.115682,-37.715405
-0.24036145,36.0,6.202772,-34.657562
-0.27059543,37.0,5.9292097,-31.556175
-0.21627182,38.0,5.7221575,-28.59157
-0.235143,39.0,5.3038754,-25.730492
-0.29496276,40.0,5.1280184,-23.078554
-0.34176898,41.0,4.8902187,-20.514545
-0.28596395,42.0,4.5241203,-18.069435
