states: t,states: v,states: x
27.0,-4.85811,134.363
28.0,-4.82009,131.933
29.0,-5.16692,129.523
30.0,-5.41647,126.94
31.0,-5.07697,124.232
32.0,-5.24771,121.693
33.0,-5.07135,119.069
34.0,-5.45421,116.534
35.0,-5.56352,113.807
36.0,-5.19968,111.025
37.0,-5.12898,108.425
38.0,-5.26973,105.861
39.0,-5.42529,103.226
40.0,-5.48343,100.513
41.0,-5.04219,97.7713
42.0,-5.29213,95.2502
43.0,-5.47737,92.6041
44.0,-5.58746,89.8654
45.0,-5.53413,87.0717
46.0,-5.69674,84.3046
47.0,-5.41361,81.4563
48.0,-5.09371,78.7495
49.0,-4.81303,76.2026
50.0,-4.52319,73.7961
51.0,-4.65271,71.5345
52.0,-4.86035,69.2082
53.0,-5.07623,66.778
54.0,-4.93321,64.2399
55.0,-5.32448,61.7733
56.0,-5.19511,59.111
57.0,-5.41999,56.5135
58.0,-5.12111,53.8035
59.0,-5.20312,51.2429
60.0,-4.98591,48.6414
61.0,-4.59672,46.1484
62.0,-4.42423,43.85
63.0,-4.38501,41.6379
64.0,-4.43475,39.4454
65.0,-4.28497,37.228
66.0,-4.21623,35.0856
67.0,-4.23105,32.9774
68.0,-3.68745,30.8619
69.0,-3.57305,29.0182
70.0,-3.50024,27.2317
71.0,-3.19247,25.4816
72.0,-3.29583,23.8853
73.0,-3.00728,22.2374
74.0,-2.50379,20.7338
75.0,-2.03728,19.4819
76.0,-1.69555,18.4632
77.0,-1.34918,17.6155
78.0,-1.19481,16.9409
79.0,-1.08534,16.3435
80.0,-0.923012,15.8008
81.0,-1.10447,15.3393
82.0,-1.25247,14.787
83.0,-1.58407,14.1608
84.0,-1.36992,13.3688
85.0,-1.46969,12.6838
86.0,-1.06747,11.949
87.0,-0.57389,11.4152
88.0,-0.760025,11.1283
89.0,-0.694093,10.7483
90.0,-0.811361,10.4012
91.0,-0.645368,9.99555
92.0,-0.38839,9.67286
93.0,-0.190072,9.47867
94.0,-0.179587,9.38363
95.0,-0.274775,9.29384
96.0,-0.214966,9.15645
97.0,-0.447382,9.04897
98.0,-0.133122,8.82528
99.0,0.325921,8.75872
100.0,0.0850802,8.92168
1.0,-0.138005,-65.9907
2.0,0.113337,-66.0597
3.0,0.523766,-66.003
4.0,0.872346,-65.7411
5.0,1.12036,-65.3049
6.0,1.09831,-64.7448
7.0,1.18424,-64.1956
8.0,0.955681,-63.6035
9.0,1.21647,-63.1256
10.0,1.03107,-62.5174
11.0,0.957765,-62.0019
12.0,0.896028,-61.523
13.0,0.757642,-61.075
14.0,0.790542,-60.6962
15.0,0.957249,-60.3009
16.0,0.948769,-59.8223
17.0,1.34409,-59.3479
18.0,1.5843,-58.6758
19.0,1.66388,-57.8837
20.0,1.42044,-57.0517
21.0,2.29325,-56.3415
22.0,2.41363,-55.1949
23.0,2.46339,-53.9881
24.0,2.33727,-52.7564
25.0,2.31358,-51.5878
26.0,2.38279,-50.431
27.0,2.15153,-49.2396
28.0,1.79853,-48.1638
29.0,1.92394,-47.2645
30.0,2.37011,-46.3026
31.0,2.54042,-45.1175
32.0,2.71776,-43.8473
33.0,2.81061,-42.4884
34.0,2.81869,-41.0831
35.0,3.00016,-39.6738
36.0,2.89085,-38.1737
37.0,2.95916,-36.7283
38.0,3.23436,-35.2487
39.0,3.25923,-33.6315
40.0,2.84301,-32.0019
41.0,2.60866,-30.5804
42.0,2.66032,-29.2761
43.0,2.45579,-27.9459
44.0,2.22073,-26.718
45.0,1.96217,-25.6077
46.0,1.87885,-24.6266
47.0,2.09139,-23.6872
48.0,2.27882,-22.6415
49.0,2.42509,-21.502
50.0,2.57887,-20.2895
51.0,2.2532,-19.0001
52.0,2.26106,-17.8735
53.0,1.72486,-16.7429
54.0,2.05626,-15.8805
